model,distancia_um,version,grados_chip,grados_ideal,hit,indefinido,empates
dipolo,2000,t,21.8812,21.8302,92.7564,0.0000,0.0000
dipolo,2000,v,21.8812,21.8302,96.9883,0.0000,0.0000
dipolo,3000,t,17.2293,17.1284,92.2271,0.0000,0.0000
dipolo,3000,v,17.2293,17.1284,96.6379,0.0000,0.0000
dipolo,4500,t,13.9654,13.6703,92.2271,0.0000,0.0000
dipolo,4500,v,13.9654,13.6703,96.6379,0.0000,0.0000
dipolo,6000,t,12.8614,12.3373,90.3988,0.0000,0.0000
dipolo,6000,v,12.8614,12.3373,95.4862,0.0000,0.0000
dipolo,9000,t,12.3822,11.3110,86.8093,0.0000,0.0000
dipolo,9000,v,12.3822,11.3110,95.4862,0.0000,0.0000
dipolo,12000,t,12.7082,10.8903,84.4294,0.0000,0.0000
dipolo,12000,v,12.7082,10.8903,93.0839,0.0000,0.0000
dipolo,18000,t,14.3880,10.5511,75.1117,0.0000,0.0000
dipolo,18000,v,14.3880,10.5511,89.9399,0.0000,0.0000
simetrico,2000,t,19.6023,19.4843,90.9105,0.0000,0.0000
simetrico,2000,v,19.6023,19.4843,95.6822,0.0000,0.0000
simetrico,3000,t,14.5442,14.2719,91.1366,0.0000,0.0000
simetrico,3000,v,14.5442,14.2719,95.6822,0.0000,0.0000
simetrico,4500,t,10.6923,9.9521,90.6895,0.0000,0.0000
simetrico,4500,v,10.6923,9.9521,95.6210,0.0000,0.0000
simetrico,6000,t,9.1176,7.5865,86.8579,0.0000,0.0000
simetrico,6000,v,9.1176,7.5865,94.3990,0.0000,0.0000
simetrico,9000,t,9.4135,5.1178,82.6941,0.0000,0.0000
simetrico,9000,v,9.4135,5.1178,92.0813,0.0000,0.0000
simetrico,12000,t,11.3725,3.8544,76.3267,0.0000,0.0000
simetrico,12000,v,11.3725,3.8544,89.5825,0.0000,0.0000
simetrico,18000,t,16.2479,2.5773,66.9095,0.0000,0.0000
simetrico,18000,v,16.2479,2.5773,84.1183,0.0000,0.0000
