idx,tipo,rad_um,tilt_deg,dip,bcen,off
1,simetrico,2000,0,0,5e-3,200e-6
2,simetrico,2000,60,0,5e-3,200e-6
3,simetrico,2000,120,0,5e-3,200e-6
4,simetrico,2000,180,0,5e-3,200e-6
5,simetrico,3000,0,0,5e-3,200e-6
6,simetrico,3000,60,0,5e-3,200e-6
7,simetrico,3000,120,0,5e-3,200e-6
8,simetrico,3000,180,0,5e-3,200e-6
9,simetrico,4500,0,0,5e-3,200e-6
10,simetrico,4500,60,0,5e-3,200e-6
11,simetrico,4500,120,0,5e-3,200e-6
12,simetrico,4500,180,0,5e-3,200e-6
13,simetrico,6000,0,0,5e-3,200e-6
14,simetrico,6000,60,0,5e-3,200e-6
15,simetrico,6000,120,0,5e-3,200e-6
16,simetrico,6000,180,0,5e-3,200e-6
17,simetrico,9000,0,0,5e-3,200e-6
18,simetrico,9000,60,0,5e-3,200e-6
19,simetrico,9000,120,0,5e-3,200e-6
20,simetrico,9000,180,0,5e-3,200e-6
21,simetrico,12000,0,0,5e-3,200e-6
22,simetrico,12000,60,0,5e-3,200e-6
23,simetrico,12000,120,0,5e-3,200e-6
24,simetrico,12000,180,0,5e-3,200e-6
25,simetrico,18000,0,0,5e-3,200e-6
26,simetrico,18000,60,0,5e-3,200e-6
27,simetrico,18000,120,0,5e-3,200e-6
28,simetrico,18000,180,0,5e-3,200e-6
29,dipolo,2000,0,1,5e-3,200e-6
30,dipolo,2000,60,1,5e-3,200e-6
31,dipolo,2000,120,1,5e-3,200e-6
32,dipolo,2000,180,1,5e-3,200e-6
33,dipolo,3000,0,1,5e-3,200e-6
34,dipolo,3000,60,1,5e-3,200e-6
35,dipolo,3000,120,1,5e-3,200e-6
36,dipolo,3000,180,1,5e-3,200e-6
37,dipolo,4500,0,1,5e-3,200e-6
38,dipolo,4500,60,1,5e-3,200e-6
39,dipolo,4500,120,1,5e-3,200e-6
40,dipolo,4500,180,1,5e-3,200e-6
41,dipolo,6000,0,1,5e-3,200e-6
42,dipolo,6000,60,1,5e-3,200e-6
43,dipolo,6000,120,1,5e-3,200e-6
44,dipolo,6000,180,1,5e-3,200e-6
45,dipolo,9000,0,1,5e-3,200e-6
46,dipolo,9000,60,1,5e-3,200e-6
47,dipolo,9000,120,1,5e-3,200e-6
48,dipolo,9000,180,1,5e-3,200e-6
49,dipolo,12000,0,1,5e-3,200e-6
50,dipolo,12000,60,1,5e-3,200e-6
51,dipolo,12000,120,1,5e-3,200e-6
52,dipolo,12000,180,1,5e-3,200e-6
53,dipolo,18000,0,1,5e-3,200e-6
54,dipolo,18000,60,1,5e-3,200e-6
55,dipolo,18000,120,1,5e-3,200e-6
56,dipolo,18000,180,1,5e-3,200e-6
