ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,1.23141,0,0.00305127,0.00325127,0.00811441,0.00799041,0.00305127,0.00311327,0.00811441,0.00794441,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.85953e-08,3.83687e-09,3.83687e-09,4.99999,5,5,5,3.83687e-09,3.83687e-09,0.00101115,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,-0.0435779,2.713,2.40412,0.00314161,0.00334161,0.0076807,0.0075567,0.00298256,0.00304456,0.00859166,0.00842166,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.05792e-09,3.83687e-09,3.83687e-09,1.28809e-08,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,-0.0868241,5.16975,4.62376,0.00325422,0.00345422,0.00728223,0.00715823,0.00293478,0.00299678,0.00912248,0.00895248,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.88605e-09,3.83687e-09,3.83687e-09,5.21546e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,-0.12941,7.27861,6.48053,0.00338964,0.00358964,0.00691282,0.00678882,0.00290713,0.00296913,0.00971719,0.00954719,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84353e-09,3.83687e-09,3.83687e-09,4.95232e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,-0.17101,8.79271,7.81609,0.00354835,0.00374835,0.00656817,0.00644417,0.00289873,0.00296073,0.0103836,0.0102136,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83925e-09,3.83687e-09,3.83687e-09,4.34053e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,-0.211309,9.58142,8.51445,0.0037308,0.0039308,0.00624546,0.00612146,0.00290862,0.00297062,0.0111229,0.0109529,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83735e-09,3.83687e-09,3.83687e-09,4.05025e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,-0.25,9.60037,8.52475,0.00393736,0.00413736,0.00594284,0.00581886,0.00293582,0.00299782,0.0119247,0.0117545,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.8369e-09,3.83687e-09,3.83687e-09,3.95096e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,-0.286788,8.88919,7.8752,0.00416837,0.00436837,0.00565912,0.00553513,0.00297931,0.00304131,0.0127632,0.0125929,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83684e-09,3.83687e-09,3.83686e-09,3.90076e-09,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,-0.321394,7.55988,6.6809,0.00442406,0.00462406,0.00539341,0.00526941,0.0030381,0.0031001,0.0135962,0.0134262,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83685e-09,3.83686e-09,3.83685e-09,3.86614e-09,5,5,5,3.83685e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,-0.353553,5.79617,5.17671,0.00470458,0.00490458,0.00514502,0.00502102,0.0031112,0.0031732,0.0143677,0.0141977,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83685e-09,3.83686e-09,3.83664e-09,3.8402e-09,5,5,5,3.83664e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
