idx,tipo,lxy_um,lz_um,gmm,bg,tilt_deg,off
1,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,0,2.000000e-04
2,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,0,2.000000e-04
3,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,0,2.000000e-04
4,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,15,2.000000e-04
5,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,15,2.000000e-04
6,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,15,2.000000e-04
7,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,30,2.000000e-04
8,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,30,2.000000e-04
9,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,30,2.000000e-04
10,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,45,2.000000e-04
11,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,45,2.000000e-04
12,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,45,2.000000e-04
13,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,60,2.000000e-04
14,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,60,2.000000e-04
15,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,60,2.000000e-04
16,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,75,2.000000e-04
17,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,75,2.000000e-04
18,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,75,2.000000e-04
19,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,90,2.000000e-04
20,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,90,2.000000e-04
21,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,90,2.000000e-04
22,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,105,2.000000e-04
23,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,105,2.000000e-04
24,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,105,2.000000e-04
25,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,120,2.000000e-04
26,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,120,2.000000e-04
27,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,120,2.000000e-04
28,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,135,2.000000e-04
29,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,135,2.000000e-04
30,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,135,2.000000e-04
31,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,150,2.000000e-04
32,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,150,2.000000e-04
33,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,150,2.000000e-04
34,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,165,2.000000e-04
35,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,165,2.000000e-04
36,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,165,2.000000e-04
37,esfera_1e-03,1000,1000,1.000000e-03,0.000000e+00,180,2.000000e-04
38,esfera_2e-03,1000,1000,2.223000e-03,0.000000e+00,180,2.000000e-04
39,esfera_9e-03,1000,1000,9.430000e-03,0.000000e+00,180,2.000000e-04
