angulo,X,Y,Z,XP,XN,YP,YN,ZP,ZN,Xr,Yr,Zr,XPr,XNr,YPr,YNr,ZPr,ZNr,X1,X2,X3,X4,Y1,Y2,Y3,Y4,Z1,Z2,Z3,Z4,X1r,X2r,X3r,X4r,Y1r,Y2r,Y3r,Y4r,Z1r,Z2r,Z3r,Z4r,S1P,S1N,S2P,S2N,S3P,S3N,S4P,S4N,P_EXC,P_ESQ,P_LAY
0.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.51387e-09,5,5,1.67901e-08,5,1.67901e-08,1.679e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67931e-08,5,8.56072e-09,5,5,2.46464,2.53536,2.53536,2.46464,2.46464,2.53536,2.53536,2.46464,-0.0001,-0.0751001,-0.074681
0.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.49274e-09,5,5,1.67901e-08,5,1.67901e-08,1.679e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67931e-08,5,8.55095e-09,5,5,2.46495,2.53505,2.53566,2.46434,2.46434,2.53566,2.53505,2.46495,-0.0001,-0.0751032,-0.0746834
1.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.4644e-09,5,5,1.67901e-08,5,1.67901e-08,1.679e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67932e-08,5,8.5325e-09,5,5,2.46527,2.53473,2.53597,2.46403,2.46403,2.53597,2.53473,2.46527,-0.0001,-0.0751078,-0.074688
1.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.42747e-09,5,5,1.67901e-08,5,1.67901e-08,1.67901e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.6794e-08,5,8.50851e-09,5,5,2.46558,2.53442,2.53627,2.46373,2.46373,2.53627,2.53442,2.46558,-0.0001,-0.075119,-0.0747037
2.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.39227e-09,5,5,1.67901e-08,5,1.67901e-08,1.96969e-07,1.67931e-08,1.67943e-08,1.67931e-08,2.53363e-06,5,8.48431e-09,5,5,2.4659,2.5341,2.53657,2.46343,2.46343,2.53657,2.5341,2.4659,-0.0001,-0.0750027,-0.0746778
2.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.36751e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.6789e-08,5,8.46685e-09,5,5,2.46622,2.53378,2.53686,2.46314,2.46314,2.53686,2.53378,2.46622,-0.0001,-0.0746854,-0.074373
3.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.35437e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.45486e-09,5,5,2.46654,2.53346,2.53716,2.46284,2.46284,2.53716,2.53346,2.46654,-0.0001,-0.0744655,-0.074124
3.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34337e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44539e-09,5,5,2.46687,2.53313,2.53745,2.46255,2.46255,2.53745,2.53313,2.46687,-0.0001,-0.0741583,-0.0738309
4.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34181e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44415e-09,5,5,2.4672,2.5328,2.53774,2.46226,2.46226,2.53774,2.5328,2.4672,-0.0001,-0.0740198,-0.0737013
4.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34162e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44398e-09,5,5,2.46753,2.53247,2.53802,2.46198,2.46198,2.53802,2.53247,2.46753,-0.0001,-0.0739556,-0.0736384
