angulo,X,Y,Z,XP,XN,YP,YN,ZP,ZN,Xr,Yr,Zr,XPr,XNr,YPr,YNr,ZPr,ZNr,X1,X2,X3,X4,Y1,Y2,Y3,Y4,Z1,Z2,Z3,Z4,X1r,X2r,X3r,X4r,Y1r,Y2r,Y3r,Y4r,Z1r,Z2r,Z3r,Z4r,S1P,S1N,S2P,S2N,S3P,S3N,S4P,S4N,P_EXC,P_ESQ,P_LAY
0.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,3.67498e-08,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67939e-08,1.67931e-08,1.67889e-08,5,3.72952e-08,5,5,2.49991,2.50009,2.50009,2.49991,2.49991,2.50009,2.50009,2.49991,-0.0001,-0.0768827,-0.0763507
0.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,2.97014e-08,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67939e-08,1.67931e-08,1.67889e-08,5,3.69577e-08,5,5,2.49991,2.50009,2.50009,2.49991,2.49991,2.50009,2.50009,2.49991,-0.0001,-0.0766653,-0.0762109
1.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.57062e-09,5,5,1.679e-08,5,1.679e-08,1.67897e-08,1.67931e-08,1.67941e-08,1.67931e-08,1.67889e-08,5,2.81004e-08,5,5,2.49991,2.50009,2.50009,2.49991,2.49991,2.50009,2.50009,2.49991,-0.0001,-0.0763136,-0.0761915
1.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.42327e-09,5,5,1.679e-08,5,1.679e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.6518e-09,5,5,2.49991,2.50009,2.50009,2.49991,2.49991,2.50009,2.50009,2.49991,-0.0001,-0.0759931,-0.0760133
2.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.38764e-09,5,5,1.679e-08,5,1.679e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.5171e-09,5,5,2.49991,2.50009,2.50009,2.49991,2.49991,2.50009,2.50009,2.49991,-0.0001,-0.0758013,-0.0758496
2.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.37052e-09,5,5,1.679e-08,5,1.679e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.48623e-09,5,5,2.49992,2.50008,2.50009,2.49991,2.49991,2.50009,2.50008,2.49992,-0.0001,-0.075704,-0.0757273
3.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.35782e-09,5,5,1.679e-08,5,1.679e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.46979e-09,5,5,2.49992,2.50008,2.50009,2.49991,2.49991,2.50009,2.50008,2.49992,-0.0001,-0.0756581,-0.0756378
3.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.35242e-09,5,5,1.679e-08,5,1.679e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.45866e-09,5,5,2.49992,2.50008,2.50009,2.49991,2.49991,2.50009,2.50008,2.49992,-0.0001,-0.0755971,-0.0755849
4.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.3498e-09,5,5,1.679e-08,5,1.679e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.45427e-09,5,5,2.49992,2.50008,2.50009,2.49991,2.49991,2.50009,2.50008,2.49992,-0.0001,-0.0755256,-0.0754994
4.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34804e-09,5,5,1.679e-08,5,1.679e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.45185e-09,5,5,2.49992,2.50008,2.5001,2.4999,2.4999,2.5001,2.50008,2.49992,-0.0001,-0.0754527,-0.0753806
