# bias1 bias2 bias3 bias4 gain
3 2.2 1.7 1 4210.53
3 2.2 1.7 1.2 4098.36
3 2.2 1.7 1.4 3868.47
3 2.2 1.9 1 4608.29
3 2.2 1.9 1.2 4454.34
3 2.2 1.9 1.4 3787.88
3 2.2 2.1 1 4761.9
3 2.2 2.1 1.2 4566.21
3 2.2 2.1 1.4 2557.54
3 2.4 1.7 1 4395.6
3 2.4 1.7 1.2 4140.79
3 2.4 1.7 1.4 3883.5
3 2.4 1.9 1 4728.13
3 2.4 1.9 1.2 4514.67
3 2.4 1.9 1.4 2364.07
3 2.4 2.1 1 4784.69
3 2.4 2.1 1.2 4576.66
3 2.4 2.1 1.4 3891.05
3 2.6 1.7 1 4629.63
3 2.6 1.7 1.2 4319.65
3 2.6 1.7 1.4 3696.86
3 2.6 1.9 1 4807.69
3 2.6 1.9 1.2 4555.81
3 2.6 1.9 1.4 3952.57
3 2.6 2.1 1 4807.69
3 2.6 2.1 1.2 4545.45
3 2.6 2.1 1.4 4158
3.2 2.2 1.7 1 4694.84
3.2 2.2 1.7 1.2 4545.45
3.2 2.2 1.7 1.4 4264.39
3.2 2.2 1.9 1 4830.92
3.2 2.2 1.9 1.2 4608.29
3.2 2.2 1.9 1.4 3407.16
3.2 2.2 2.1 1 4807.69
3.2 2.2 2.1 1.2 4576.66
3.2 2.2 2.1 1.4 4040.4
3.2 2.4 1.7 1 4739.34
3.2 2.4 1.7 1.2 4545.45
3.2 2.4 1.7 1.4 3968.25
3.2 2.4 1.9 1 4830.92
3.2 2.4 1.9 1.2 4597.7
3.2 2.4 1.9 1.4 3984.06
3.2 2.4 2.1 1 4807.69
3.2 2.4 2.1 1.2 4555.81
3.2 2.4 2.1 1.4 4175.37
3.2 2.6 1.7 1 4807.69
3.2 2.6 1.7 1.2 4545.45
3.2 2.6 1.7 1.4 2594.03
3.2 2.6 1.9 1 4842.62
3.2 2.6 1.9 1.2 4555.81
3.2 2.6 1.9 1.4 4201.68
3.2 2.6 2.1 1 4819.28
3.2 2.6 2.1 1.2 4504.5
3.2 2.6 2.1 1.4 4301.08
3.4 2.2 1.7 1 4854.37
3.4 2.2 1.7 1.2 4524.89
3.4 2.2 1.7 1.4 4166.67
3.4 2.2 1.9 1 4842.62
3.4 2.2 1.9 1.2 4357.3
3.4 2.2 1.9 1.4 4357.3
3.4 2.2 2.1 1 4819.28
3.4 2.2 2.1 1.2 4098.36
3.4 2.2 2.1 1.4 4415.01
3.4 2.4 1.7 1 4854.37
3.4 2.4 1.7 1.2 4504.5
3.4 2.4 1.7 1.4 4228.33
3.4 2.4 1.9 1 4842.62
3.4 2.4 1.9 1.2 4246.28
3.4 2.4 1.9 1.4 4385.96
3.4 2.4 2.1 1 4807.69
3.4 2.4 2.1 1.2 3861
3.4 2.4 2.1 1.4 4444.44
3.4 2.6 1.7 1 4854.37
3.4 2.6 1.7 1.2 4395.6
3.4 2.6 1.7 1.4 4301.08
3.4 2.6 1.9 1 4830.92
3.4 2.6 1.9 1.2 3853.56
3.4 2.6 1.9 1.4 4444.44
3.4 2.6 2.1 1 4819.28
3.4 2.6 2.1 1.2 2932.55
3.4 2.6 2.1 1.4 4494.38
3.6 2.2 1.7 1 4796.16
3.6 2.2 1.7 1.2 4474.27
3.6 2.2 1.7 1.4 4618.94
3.6 2.2 1.9 1 4773.27
3.6 2.2 1.9 1.2 4504.5
3.6 2.2 1.9 1.4 4651.16
3.6 2.2 2.1 1 4750.59
3.6 2.2 2.1 1.2 4524.89
3.6 2.2 2.1 1.4 4672.9
3.6 2.4 1.7 1 4784.69
3.6 2.4 1.7 1.2 4484.3
3.6 2.4 1.7 1.4 4629.63
3.6 2.4 1.9 1 4773.27
3.6 2.4 1.9 1.2 4524.89
3.6 2.4 1.9 1.4 4662
3.6 2.4 2.1 1 4750.59
3.6 2.4 2.1 1.2 4545.45
3.6 2.4 2.1 1.4 4683.84
3.6 2.6 1.7 1 4784.69
3.6 2.6 1.7 1.2 4504.5
3.6 2.6 1.7 1.4 4640.37
3.6 2.6 1.9 1 4773.27
3.6 2.6 1.9 1.2 4545.45
3.6 2.6 1.9 1.4 4683.84
3.6 2.6 2.1 1 4750.59
3.6 2.6 2.1 1.2 4555.81
3.6 2.6 2.1 1.4 4694.84
3.8 2.2 1.7 1 4555.81
3.8 2.2 1.7 1.2 4784.69
3.8 2.2 1.7 1.4 4807.69
3.8 2.2 1.9 1 4587.16
3.8 2.2 1.9 1.2 4796.16
3.8 2.2 1.9 1.4 4819.28
3.8 2.2 2.1 1 4618.94
3.8 2.2 2.1 1.2 4796.16
3.8 2.2 2.1 1.4 4830.92
3.8 2.4 1.7 1 4576.66
3.8 2.4 1.7 1.2 4784.69
3.8 2.4 1.7 1.4 4819.28
3.8 2.4 1.9 1 4608.29
3.8 2.4 1.9 1.2 4807.69
3.8 2.4 1.9 1.4 4830.92
3.8 2.4 2.1 1 4618.94
3.8 2.4 2.1 1.2 4796.16
3.8 2.4 2.1 1.4 4842.62
3.8 2.6 1.7 1 4597.7
3.8 2.6 1.7 1.2 4796.16
3.8 2.6 1.7 1.4 4819.28
3.8 2.6 1.9 1 4618.94
3.8 2.6 1.9 1.2 4807.69
3.8 2.6 1.9 1.4 4842.62
3.8 2.6 2.1 1 4629.63
3.8 2.6 2.1 1.2 4807.69
3.8 2.6 2.1 1.4 4842.62
