# bias1 bias2 bias3 bias4 gain
4.78 4.58 1.88 1.38 1.1091
4.78 4.58 1.88 1.39 1.19503
4.78 4.58 1.88 1.4 0.996688
4.78 4.58 1.88 1.41 1.0395
4.78 4.58 1.88 1.42 1.06785
4.78 4.58 1.89 1.38 1.39381
4.78 4.58 1.89 1.39 1.14423
4.78 4.58 1.89 1.4 1.10593
4.78 4.58 1.89 1.41 1.17488
4.78 4.58 1.89 1.42 1.11303
4.78 4.58 1.9 1.38 1.09111
4.78 4.58 1.9 1.39 1.08972
4.78 4.58 1.9 1.4 0.987621
4.78 4.58 1.9 1.41 1.02016
4.78 4.58 1.9 1.42 1.11621
4.78 4.58 1.91 1.38 1.27928
4.78 4.58 1.91 1.39 0.986489
4.78 4.58 1.91 1.4 1.2302
4.78 4.58 1.91 1.41 1.19062
4.78 4.58 1.91 1.42 1.04365
4.78 4.58 1.92 1.38 1.01463
4.78 4.58 1.92 1.39 1.25287
4.78 4.58 1.92 1.4 1.18245
4.78 4.58 1.92 1.41 0.925767
4.78 4.58 1.92 1.42 1.14253
4.78 4.59 1.88 1.38 1.54609
4.78 4.59 1.88 1.39 1.38971
4.78 4.59 1.88 1.4 1.82099
4.78 4.59 1.88 1.41 1.11819
4.78 4.59 1.88 1.42 1.34635
4.78 4.59 1.89 1.38 1.20711
4.78 4.59 1.89 1.39 1.18668
4.78 4.59 1.89 1.4 1.07864
4.78 4.59 1.89 1.41 1.44325
4.78 4.59 1.89 1.42 1.37449
4.78 4.59 1.9 1.38 1.27271
4.78 4.59 1.9 1.39 1.26489
4.78 4.59 1.9 1.4 1.12151
4.78 4.59 1.9 1.41 1.43535
4.78 4.59 1.9 1.42 1.19053
4.78 4.59 1.91 1.38 1.31577
4.78 4.59 1.91 1.39 1.07368
4.78 4.59 1.91 1.4 1.46224
4.78 4.59 1.91 1.41 1.22603
4.78 4.59 1.91 1.42 1.33759
4.78 4.59 1.92 1.38 1.47496
4.78 4.59 1.92 1.39 1.55205
4.78 4.59 1.92 1.4 1.25988
4.78 4.59 1.92 1.41 1.63594
4.78 4.59 1.92 1.42 1.38417
4.78 4.6 1.88 1.38 2.05128
4.78 4.6 1.88 1.39 1.48377
4.78 4.6 1.88 1.4 1.23096
4.78 4.6 1.88 1.41 1.09748
4.78 4.6 1.88 1.42 1.02163
4.78 4.6 1.89 1.38 0.999763
4.78 4.6 1.89 1.39 1.18743
4.78 4.6 1.89 1.4 1.10631
4.78 4.6 1.89 1.41 0.972306
4.78 4.6 1.89 1.42 1.09919
4.78 4.6 1.9 1.38 1.03552
4.78 4.6 1.9 1.39 1.12128
4.78 4.6 1.9 1.4 1.64041
4.78 4.6 1.9 1.41 1.13325
4.78 4.6 1.9 1.42 0.990868
4.78 4.6 1.91 1.38 1.08409
4.78 4.6 1.91 1.39 1.86347
4.78 4.6 1.91 1.4 1.14736
4.78 4.6 1.91 1.41 1.09552
4.78 4.6 1.91 1.42 1.41081
4.78 4.6 1.92 1.38 1.26177
4.78 4.6 1.92 1.39 1.25135
4.78 4.6 1.92 1.4 1.03939
4.78 4.6 1.92 1.41 1.61613
4.78 4.6 1.92 1.42 1.23907
4.78 4.61 1.88 1.38 1.06586
4.78 4.61 1.88 1.39 1.04757
4.78 4.61 1.88 1.4 1.08372
4.78 4.61 1.88 1.41 1.18817
4.78 4.61 1.88 1.42 1.83407
4.78 4.61 1.89 1.38 1.11723
4.78 4.61 1.89 1.39 1.2422
4.78 4.61 1.89 1.4 1.15346
4.78 4.61 1.89 1.41 1.07482
4.78 4.61 1.89 1.42 1.08798
4.78 4.61 1.9 1.38 1.22928
4.78 4.61 1.9 1.39 1.12169
4.78 4.61 1.9 1.4 0.991535
4.78 4.61 1.9 1.41 1.15085
4.78 4.61 1.9 1.42 0.997328
4.78 4.61 1.91 1.38 1.10742
4.78 4.61 1.91 1.39 1.01309
4.78 4.61 1.91 1.4 1.11869
4.78 4.61 1.91 1.41 1.83559
4.78 4.61 1.91 1.42 1.01508
4.78 4.61 1.92 1.38 1.11992
4.78 4.61 1.92 1.39 0.990098
4.78 4.61 1.92 1.4 0.94286
4.78 4.61 1.92 1.41 1.11638
4.78 4.61 1.92 1.42 1.3586
4.78 4.62 1.88 1.38 1.02343
4.78 4.62 1.88 1.39 0.981883
4.78 4.62 1.88 1.4 1.06565
4.78 4.62 1.88 1.41 0.950225
4.78 4.62 1.88 1.42 1.06826
4.78 4.62 1.89 1.38 0.977246
4.78 4.62 1.89 1.39 1.02365
4.78 4.62 1.89 1.4 1.14988
4.78 4.62 1.89 1.41 1.04108
4.78 4.62 1.89 1.42 0.969263
4.78 4.62 1.9 1.38 1.10683
4.78 4.62 1.9 1.39 1.02214
4.78 4.62 1.9 1.4 2.40356
4.78 4.62 1.9 1.41 1.14145
4.78 4.62 1.9 1.42 1.33126
4.78 4.62 1.91 1.38 0.975265
4.78 4.62 1.91 1.39 1.17572
