bias3Value Gain
0 
0.05 
0.1 
0.15 
0.2 
0.25 73.0834
0.3 84.969
0.35 2136.75
0.4 4385.96
0.45 4796.16
0.5 4395.6
0.55 4926.11
0.6 4535.15
0.65 4866.18
0.7 4672.9
0.75 4464.29
0.8 4524.89
0.85 4040.4
0.9 4301.08
0.95 4149.38
1 3992.02
1.05 3861
1.1 3773.58
1.15 3752.35
1.2 3752.35
1.25 3552.4
1.3 4282.66
1.35 4587.16
1.4 4651.16
1.45 4651.16
1.5 4618.94
1.55 4576.66
1.6 4504.5
1.65 4385.96
1.7 4210.53
1.75 3984.06
1.8 3752.35
1.85 3514.94
1.9 3012.05
1.95 2735.98
2 2587.32
2.05 2512.56
2.1 2484.47
2.15 2481.39
2.2 2503.13
2.25 2541.3
2.3 2587.32
2.35 2642.01
2.4 2710.03
2.45 2785.52
2.5 2865.33
2.55 2949.85
2.6 3044.14
2.65 3144.65
2.7 3236.25
2.75 3322.26
2.8 3407.16
2.85 3466.2
2.9 3257.33
2.95 3215.43
3 3205.13
3.05 3205.13
3.1 3215.43
3.15 3210.27
3.2 3215.43
3.25 3215.43
3.3 3220.61
3.35 3220.61
3.4 3220.61
3.45 3225.81
3.5 3225.81
3.55 3231.02
3.6 3231.02
3.65 3236.25
3.7 3236.25
3.75 3236.25
3.8 3241.49
3.85 3241.49
3.9 3241.49
3.95 3246.75
4 3246.75
4.05 3252.03
4.1 3246.75
4.15 3252.03
4.2 3252.03
4.25 3252.03
4.3 3257.33
4.35 3252.03
4.4 3252.03
4.45 3257.33
4.5 3257.33
4.55 3257.33
4.6 3257.33
4.65 3262.64
4.7 3262.64
4.75 3262.64
4.8 3257.33
4.85 3262.64
4.9 3262.64
4.95 3262.64
5 3262.64
